DATE,PRODUIT,QUANTITE
2022-08-07 00:00:00,PR,0
2022-08-07 00:00:00,PR1,40
2022-08-07 00:00:00,PR2,198
2022-08-07 00:00:00,PR3,332
2022-08-07 00:00:00,T03,88
2022-08-07 00:00:00,T04,249
2022-08-07 00:00:00,T05,326
2022-08-07 00:00:00,T06,624
2022-08-07 00:00:00,T07,327
2022-08-07 00:00:00,T08,0
2022-08-08 00:00:00,PR,0
2022-08-08 00:00:00,PR1,46
2022-08-08 00:00:00,PR2,383
2022-08-08 00:00:00,PR3,311
2022-08-08 00:00:00,T03,158
2022-08-08 00:00:00,T04,314
2022-08-08 00:00:00,T05,387
2022-08-08 00:00:00,T06,596
2022-08-08 00:00:00,T07,241
2022-08-08 00:00:00,T08,0
2022-08-09 00:00:00,PR,0
2022-08-09 00:00:00,PR1,49
2022-08-09 00:00:00,PR2,316
2022-08-09 00:00:00,PR3,270
2022-08-09 00:00:00,T03,77
2022-08-09 00:00:00,T04,234
2022-08-09 00:00:00,T05,279
2022-08-09 00:00:00,T06,599
2022-08-09 00:00:00,T07,263
2022-08-09 00:00:00,T08,0
2022-08-10 00:00:00,PR,0
2022-08-10 00:00:00,PR1,34
2022-08-10 00:00:00,PR2,286
2022-08-10 00:00:00,PR3,287
2022-08-10 00:00:00,T03,71
2022-08-10 00:00:00,T04,133
2022-08-10 00:00:00,T05,141
2022-08-10 00:00:00,T06,340
2022-08-10 00:00:00,T07,172
2022-08-10 00:00:00,T08,0
2022-08-11 00:00:00,PR,0
2022-08-11 00:00:00,PR1,41
2022-08-11 00:00:00,PR2,446
2022-08-11 00:00:00,PR3,445
2022-08-11 00:00:00,T03,66
2022-08-11 00:00:00,T04,202
2022-08-11 00:00:00,T05,259
2022-08-11 00:00:00,T06,503
2022-08-11 00:00:00,T07,337
2022-08-11 00:00:00,T08,0
2022-08-12 00:00:00,PR,0
2022-08-12 00:00:00,PR1,28
2022-08-12 00:00:00,PR2,259
2022-08-12 00:00:00,PR3,289
2022-08-12 00:00:00,T03,78
2022-08-12 00:00:00,T04,225
2022-08-12 00:00:00,T05,310
2022-08-12 00:00:00,T06,649
2022-08-12 00:00:00,T07,344
2022-08-12 00:00:00,T08,0
2022-08-13 00:00:00,PR,0
2022-08-13 00:00:00,PR1,40
2022-08-13 00:00:00,PR2,184
2022-08-13 00:00:00,PR3,198
2022-08-13 00:00:00,T03,72
2022-08-13 00:00:00,T04,82
2022-08-13 00:00:00,T05,133
2022-08-13 00:00:00,T06,302
2022-08-13 00:00:00,T07,283
2022-08-13 00:00:00,T08,0
2022-08-14 00:00:00,PR,0
2022-08-14 00:00:00,PR1,9
2022-08-14 00:00:00,PR2,189
2022-08-14 00:00:00,PR3,195
2022-08-14 00:00:00,T03,32
2022-08-14 00:00:00,T04,97
